ccode,idacr,leader,id,numexit,DICT2,DICT,starttime,shocktime,tenure,political.affiliation,eventtime,event,ugovt,rtpast,DICT3,shocktimet,poleff2,Z
94,COS,Laura Chinchilla Miranda,91,1,democracy,0,0,5,5,Notfullhouse,3,1,Notfullhouse,,democracy,1,s_all,0
94,COS,Solis Rivera,92,-888,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
344,CRO,Tudjman,93,2,democracy,0,5,10,10,reelected,5,0,reelected,,democracy,0,ins_all,1
344,CRO,Pavletic,94,1,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,ins_all,1
344,CRO,Tomcic,95,1,democracy,0,6,1,1,fullhouse,1,0,fullhouse,,democracy,0,ins_all,1
344,CRO,Mesic,96,1,democracy,0,0,11,11,fullhouse,1,1,fullhouse,,democracy,1,ins_all,1
344,CRO,Josipovic,97,1,democracy,0,0,6,6,fullhouse,6,0,fullhouse,,democracy,0,s_all,0
344,CRO,Kolinda Grabar-Kitarovic,98,-888,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,s_all,0
352,CYP,Clerides,99,1,democracy,0,2,11,11,Notfullhouse,9,0,Notfullhouse,,democracy,0,s_all,0
352,CYP,Tassos Nikolaou Papadopoulos,100,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
352,CYP,Dimitris Christofias,101,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
352,CYP,Anastasiades,102,-888,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,s_all,0
316,CZR,Klaus,103,1,democratized,2,2,5,5,Notfullhouse,4,1,Notfullhouse,,democracy,1,ins_all,1
316,CZR,Tosovsky,104,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
316,CZR,Zeman,105,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,ins_all,1
316,CZR,Spidla,106,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_t_s,1
316,CZR,Stanislav Gross,107,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
316,CZR,Paroubek,108,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
316,CZR,Topolanek,109,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,s_all,0
316,CZR,Fischer,110,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
316,CZR,Necas,111,1,democracy,0,0,4,4,NA,4,0,NA,,democracy,0,s_all,0
316,CZR,Rusnok,112,1,democracy,0,0,1,1,NA,1,0,NA,,democracy,0,s_all,0
316,CZR,Sobotka,113,-888,democracy,0,0,2,2,NA,2,0,NA,,democracy,0,s_all,0
42,DOM,Balaguer,114,1,democracy,0,9,11,11,reelected,2,0,reelected,,democracy,0,ins_all,1
42,DOM,Fernandez Reyna,115,1,democracy,0,0,5,5,Notfullhouse,2,1,Notfullhouse,,democracy,1,ins_all,1
42,DOM,Hipolito Mejia,116,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,ins_all,1
42,DOM,Fernandez Reyna,117,1,democracy,0,0,8,8,Notfullhouse,5,1,Notfullhouse,,democracy,1,ins_t_s,1
42,DOM,Medina,118,-888,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,s_all,0
130,ECU,Duran Ballen,123,1,democracy,0,3,5,5,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
130,ECU,Bucaram Ortiz,124,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
130,ECU,Alarcon Fabian,125,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
130,ECU,Arteaga Serrano,126,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
130,ECU,Alarcon Fabian,127,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
130,ECU,Mahuad,128,3,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,shockt,1
130,ECU,Lucio Gutierrez,130,1,democracy,0,0,3,3,Notfullhouse,2,1,Notfullhouse,,democracy,1,ins_all,1
130,ECU,Alfredo Palacio,131,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
130,ECU,Rafael Correa,132,-888,democracy,0,0,9,9,Notfullhouse,6,1,Notfullhouse,,democracy,1,ins_all,1
366,EST,Tarand,138,1,democracy,0,1,2,2,fullhouse,2,1,fullhouse,,democracy,1,ins_all,1
