ccode,idacr,leader,id,numexit,DICT2,DICT,starttime,shocktime,tenure,political.affiliation,eventtime,event,ugovt,rtpast,DICT3,shocktimet,poleff2,Z
135,PER,Ollanta Humala,300,-888,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,s_all,0
840,PHI,Ramos,301,1,democracy,0,3,7,7,fullhouse,4,0,fullhouse,,democracy,0,ins_all,1
840,PHI,Estrada,302,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
840,PHI,Gloria Macapagal-Arroyo,303,1,democracy,0,0,10,10,Notfullhouse,2,1,Notfullhouse,,democracy,1,ins_all,1
840,PHI,Benigno Aquino III,304,-888,democracy,0,0,6,6,Notfullhouse,6,1,Notfullhouse,,democracy,1,ins_all,1
290,POL,Walesa,305,1,democratized,2,5,6,6,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
290,POL,Kwasniewski,306,1,democracy,0,0,11,11,fullhouse,11,0,fullhouse,,democracy,0,ins_t_s,1
290,POL,Kaczynski,307,2,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
290,POL,Komorowski,308,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
290,POL,Borusewicz,309,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
290,POL,Schetyna,310,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
290,POL,Komorowski,311,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
235,POR,Soares,312,1,democracy,0,9,11,11,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
235,POR,Sampaio,313,1,democracy,0,0,11,11,Notfullhouse,11,0,Notfullhouse,,democracy,0,s_all,0
235,POR,Cavaco Silva,315,-888,democracy,0,0,10,10,fullhouse,10,0,fullhouse,,democracy,0,s_all,0
360,RUM,Vacariou,319,1,democracy,0,3,5,5,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
360,RUM,Ciorbea,320,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
360,RUM,Dejeu,321,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
360,RUM,Vasile,322,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
360,RUM,Athanasiu,323,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
360,RUM,Isarescu,324,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
360,RUM,A. Nastase,325,1,democracy,0,0,5,5,Notfullhouse,2,1,Notfullhouse,,democracy,1,ins_all,1
360,RUM,Eugen Bejinariu,326,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
360,RUM,Traian Basescu,327,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_t_s,1
360,RUM,Vacariou,328,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
360,RUM,Traian Basescu,329,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
360,RUM,Crin Antonescu,330,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
360,RUM,Traian Basescu,331,-888,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,s_all,0
365,RUS,Yeltsin,332,1,democratized,2,4,9,9,Notfullhouse,5,0,Notfullhouse,,democracy,0,ins_all,1
317,SLO,Meciar,337,1,democracy,0,1,5,5,fullhouse,3,1,fullhouse,,democracy,1,ins_all,1
317,SLO,Dzurinda,338,1,democracy,0,0,9,9,Notfullhouse,9,0,Notfullhouse,,democracy,0,ins_t_s,1
317,SLO,Fico,339,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,s_all,0
317,SLO,Radicova,340,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,s_all,0
317,SLO,Fico,341,-888,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,s_all,0
349,SLV,Drnovsek,342,1,democracy,0,3,9,9,Notfullhouse,4,1,Notfullhouse,,democracy,1,ins_all,1
349,SLV,Bajuk,343,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
349,SLV,Drnovsek,344,1,democracy,0,0,3,3,reelected,3,0,reelected,,democracy,0,s_all,0
349,SLV,Anton Rop,345,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,s_all,0
349,SLV,Janez Jansa,346,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,s_all,0
349,SLV,Borut Pahor,347,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,s_all,0
349,SLV,Janez Jansa,348,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
349,SLV,Bratusek,349,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
349,SLV,Cerar,350,-888,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
560,SAF,Mandela,351,1,democratized,2,1,6,6,fullhouse,2,1,fullhouse,,democracy,1,ins_all,1
560,SAF,Mbeki,352,1,democracy,0,0,10,10,fullhouse,7,1,fullhouse,,democracy,1,ins_t_s,1
560,SAF,Motlanthe,353,1,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,ins_all,1
560,SAF,Zuma,354,-888,democracy,0,0,4,7,fullhouse,7,0,fullhouse,,democracy,0,shockt,1
92,SAL,Calderon Sol,355,1,democracy,0,1,6,6,Notfullhouse,5,0,Notfullhouse,,democracy,0,s_all,0
92,SAL,Flores,356,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
92,SAL,Saca González,357,1,democracy,0,0,6,6,Notfullhouse,3,1,Notfullhouse,,democracy,1,s_all,0
92,SAL,Funes,358,1,democracy,0,0,6,6,Notfullhouse,4,1,Notfullhouse,,democracy,1,s_all,0
92,SAL,Sanchez Ceren,359,-888,democracy,0,0,2,2,Notfullhouse,2,1,Notfullhouse,,democracy,1,s_all,0
317,SLO,Meciar,360,1,democracy,0,1,5,5,fullhouse,3,1,fullhouse,,democracy,1,ins_all,1
317,SLO,Dzurinda,361,1,democracy,0,0,9,9,Notfullhouse,9,0,Notfullhouse,,democracy,0,ins_t_s,1
317,SLO,Fico,362,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,s_all,0
317,SLO,Radicova,363,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,s_all,0
317,SLO,Fico,364,-888,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,s_all,0
800,THI,Leekpai,368,1,democratized,2,3,4,4,Notfullhouse,1,0,Notfullhouse,,democracy,1,ins_all,1
800,THI,Silpa-Archa,369,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Chavalit Yongchaiyudh,370,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Leekpai,371,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Thaksin Shinawatra,372,3,democracy,0,0,6,6,Notfullhouse,2,1,Notfullhouse,,democracy,1,ins_all,1
800,THI,Chulanont,373,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Sundaravej,374,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Wongsawat,375,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Chanweerakul,376,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Vejjajiva,377,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Yingluck Shinawatra,378,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Niwattumrong Boonsongpaisan,379,3,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
800,THI,Prayuth Chan-ocha,380,-888,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
52,TRI,Manning,381,1,democracy,0,4,5,5,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
52,TRI,Panday,382,1,democracy,0,0,7,7,Notfullhouse,7,0,Notfullhouse,,democracy,0,ins_all,1
52,TRI,Manning,383,1,democracy,0,0,10,10,Notfullhouse,8,1,Notfullhouse,,democracy,1,ins_t_s,1
52,TRI,Kamla Persad-Bissessar,384,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
616,TUN,Marzouki,,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
616,TUN,Caid Essebsi,,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
640,TUR,Ciller,390,1,democracy,0,2,4,4,Notfullhouse,1,1,Notfullhouse,,democracy,1,ins_all,1
640,TUR,Yilmaz,391,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
640,TUR,Erbakan,392,3,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
640,TUR,Yilmaz,393,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
640,TUR,Ecevit,394,1,democracy,0,0,4,4,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
640,TUR,Abdullah Gul,395,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
640,TUR,Erdogan,396,-888,democracy,0,0,13,13,fullhouse,6,1,fullhouse,,democracy,1,ins_all,1
369,UKR,Kuchma,397,1,democracy,0,1,12,12,Notfullhouse,11,0,Notfullhouse,,democracy,0,ins_t_s,1
369,UKR,Yushchenko,398,1,democracy,0,0,6,6,Notfullhouse,3,1,Notfullhouse,,democracy,1,ins_all,1
369,UKR,Yanukovych,399,1,democracy,0,0,5,5,Notfullhouse,1,1,Notfullhouse,,democracy,1,ins_all,1
369,UKR,Oleksandr Turchynov,400,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
369,UKR,Petro Poroshenko,401,-888,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
165,URU,Lacalle de Herrera,404,1,democracy,0,5,6,6,Notfullhouse,1,0,Notfullhouse,,democracy,0,s_all,0
165,URU,Sanguinetti,405,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
165,URU,Jorge Batlle,406,1,democracy,0,0,6,6,Notfullhouse,5,1,Notfullhouse,,democracy,1,s_all,0
165,URU,Tabare Vazquez,407,1,democracy,0,0,6,6,Notfullhouse,2,1,Notfullhouse,,democracy,1,s_all,0
165,URU,Jose Mujica,408,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,s_all,0
165,URU,Tabare Vasquez,409,-888,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,s_all,0
101,VEN,Caldera Rodriguez,410,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,ins_all,1
101,VEN,Hugo Chavez,411,2,democracy,0,0,4,14,Notfullhouse,4,0,Notfullhouse,,democracy,0,ins_all,1
101,VEN,Hugo Chavez,411,2,democracy,0,4,7,14,fullhouse,6,1,fullhouse,,democracy,1,ins_all,1
101,VEN,Hugo Chavez,411,2,democracy,0,7,14,14,fullhouse,1,1,fullhouse,,democracy,1,ins_all,1
101,VEN,Maduro,412,-888,democracy,0,0,4,4,fullhouse,4,0,fullhouse,,democracy,0,ins_all,1
