"","ccode","idacr","leader","id","numentry","numexit","numexitcode","DICT","starttime","shocktime","tenure","political.affiliation","eventtime","event","ugovt","rtpast","DICT3","shock","polaffi2","Z"
"47",94,"COS","Figueres Olsen",87,0,1,0,0,1,5,5,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"48",94,"COS","Rodriguez Echeverria",88,0,1,0,0,0,5,5,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"49",94,"COS","de la Espriella",89,0,1,0,0,0,5,5,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"50",94,"COS","Arias",90,0,1,0,0,0,5,5,"Notfullhouse",3,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"51",94,"COS","Laura Chinchilla Miranda",91,0,1,0,0,0,5,5,"Notfullhouse",3,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"52",94,"COS","Solis Rivera",92,0,-888,-888,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"53",344,"CRO","Tudjman",93,0,2,0,0,5,10,10,"reelected",5,0,"reelected",NA,"democracy",0,"ins_all","1"
"54",344,"CRO","Pavletic",94,0,1,0,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"56",344,"CRO","Mesic",96,0,1,0,0,0,11,11,"fullhouse",1,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"57",344,"CRO","Josipovic",97,0,1,0,0,0,6,6,"fullhouse",6,0,"fullhouse",NA,"democracy",0,"s_all","0"
"59",352,"CYP","Clerides",99,0,1,0,0,2,11,11,"Notfullhouse",9,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"60",352,"CYP","Tassos Nikolaou Papadopoulos",100,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"61",352,"CYP","Dimitris Christofias",101,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"62",352,"CYP","Anastasiades",102,0,-888,-888,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"63",316,"CZR","Klaus",103,0,1,0,2,2,5,5,"Notfullhouse",4,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"64",316,"CZR","Tosovsky",104,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"65",316,"CZR","Zeman",105,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"66",316,"CZR","Spidla",106,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"67",316,"CZR","Stanislav Gross",107,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"68",316,"CZR","Paroubek",108,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"69",316,"CZR","Topolanek",109,0,1,0,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"70",316,"CZR","Fischer",110,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"71",316,"CZR","Necas",111,0,1,0,0,0,4,4,NA,4,0,NA,NA,"democracy",0,"s_all","0"
"73",316,"CZR","Sobotka",113,0,-888,-888,0,0,2,2,NA,2,0,NA,NA,"democracy",0,"s_all","0"
"74",42,"DOM","Balaguer",114,0,1,0,0,9,11,11,"reelected",2,0,"reelected",NA,"democracy",0,"ins_all","1"
"75",42,"DOM","Fernandez Reyna",115,0,1,0,0,0,5,5,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"76",42,"DOM","Hipolito Mejia",116,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"77",42,"DOM","Fernandez Reyna",117,0,1,0,0,0,8,8,"Notfullhouse",5,1,"Notfullhouse",NA,"democracy",1,"ins_t_s","1"
"78",42,"DOM","Medina",118,0,-888,-888,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"79",130,"ECU","Duran Ballen",123,0,1,0,0,3,5,5,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"80",130,"ECU","Bucaram Ortiz",124,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"83",130,"ECU","Alarcon Fabian",127,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"84",130,"ECU","Mahuad",128,0,3,2,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"shockt","1"
"85",130,"ECU","Lucio Gutierrez",130,0,1,0,0,0,3,3,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"86",130,"ECU","Alfredo Palacio",131,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"87",130,"ECU","Rafael Correa",132,0,-888,-888,0,0,9,9,"Notfullhouse",6,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"88",366,"EST","Tarand",138,0,1,0,0,1,2,2,"fullhouse",2,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"89",366,"EST","Vahi",139,0,1,0,0,0,3,3,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"90",366,"EST","Siimann",140,0,1,0,0,0,3,3,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"91",366,"EST","Laar",141,0,1,0,0,0,4,4,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"92",366,"EST","Kallas",142,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"93",366,"EST","Parts",143,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"94",366,"EST","Ansip",144,0,1,0,0,0,10,10,"Notfullhouse",10,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"95",366,"EST","Roivas",145,0,-888,-888,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"96",372,"GRG","Saakashvili",148,0,3,2,1,0,1,10,"fullhouse",9,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"97",372,"GRG","Margvelashvili",149,0,-888,-888,0,0,3,3,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"98",90,"GUA","Leon Carpio",150,1,1,0,0,2,4,4,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"99",90,"GUA","Arzu Yrigoyen",151,0,1,0,0,0,5,5,"fullhouse",5,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"100",90,"GUA","Alfonso Portillo Cabrera",152,0,1,0,0,0,5,5,"fullhouse",5,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"101",90,"GUA","Berger Perdomo",153,0,1,0,0,0,5,5,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"ins_t_s","1"
